DUMMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,18.35,18.35,73.4,73.4,128.45,128.45,183.5,183.5,18.35,73.4,128.45,183.5,275.25,275.25,367,367
2,20.269816,29.8902164,81.07926401,119.5608656,141.888712,209.2315148,202.69816,298.902164,24.66086556,98.64346224,172.6260589,246.6086556,304.04724,369.9129834,405.39632,493.2173112
3,22.39048723,48.68801289,89.56194893,194.7520516,156.7334106,340.8160902,223.9048723,486.8801289,33.14214116,132.5685646,231.9949881,331.4214116,335.8573085,497.1321173,447.8097447,662.8428231
4,24.7330276,79.30764258,98.93211039,317.2305703,173.1311932,555.1534981,247.330276,793.0764258,44.54026635,178.1610654,311.7818644,445.4026635,370.9954139,668.1039952,494.6605519,890.8053269
5,27.32064951,129.1837929,109.282598,516.7351715,191.2445466,904.2865501,273.2064951,1291.837929,59.85839348,239.4335739,419.0087544,598.5839348,409.8097427,897.8759022,546.4129902,1197.16787
6,30.17899393,210.4267861,120.7159757,841.7071443,211.2529575,1472.987502,301.7899393,2104.267861,80.44467544,321.7787018,563.1127281,804.4467544,452.684909,1206.670132,603.5798786,1608.893509
7,33.33638442,342.7630612,133.3455377,1371.052245,233.3546909,2399.341428,333.3638442,3427.630612,108.110917,432.4436678,756.7764187,1081.10917,500.0457663,1621.663754,666.7276884,2162.218339
8,36.82410781,558.3249086,147.2964312,2233.299634,257.7687547,3908.27436,368.2410781,5583.249086,145.2920321,581.1681283,1017.044225,1452.920321,552.3616172,2179.380481,736.4821562,2905.840642
9,40.67672424,909.4524436,162.7068969,3637.809774,284.7370696,6366.167105,406.7672424,9094.524436,195.2603417,781.0413668,1366.822392,1952.603417,610.1508635,2928.905126,813.5344847,3905.206834
10,44.93240958,1481.402199,179.7296383,5925.608795,314.5268671,10369.81539,449.3240958,14814.02199,262.4135715,1049.654286,1836.895,2624.135715,673.9861437,3936.203572,898.6481916,5248.271429
11,49.63333377,2413.048081,198.5333351,9652.192326,347.4333364,16891.33657,496.3333377,24130.48081,352.6618968,1410.647587,2468.633278,3526.618968,744.5000065,5289.928453,992.6666754,7053.237937
12,54.82607864,3930.601054,219.3043146,15722.40422,383.7825505,27514.20738,548.2607864,39306.01054,473.9480995,1895.792398,3317.636697,4739.480995,822.3911796,7109.221493,1096.521573,9478.961991
13,60.56209952,5016.553655,242.2483981,20066.21462,423.9346966,35115.87558,605.6209952,50165.53655,636.9466139,2547.786456,4458.626298,6369.466139,908.4314927,9554.199209,1211.24199,12738.93228
14,66.89823509,5016.553655,267.5929403,20066.21462,468.2876456,35115.87558,668.9823509,50165.53655,856.0029872,3424.011949,5992.020911,8560.029872,1003.473526,12840.04481,1337.964702,17120.05974
15,73.89727063,5016.553655,295.5890825,20066.21462,517.2808944,35115.87558,738.9727063,50165.53655,1150.396435,4601.585741,8052.775047,8560.029872,1108.459059,12840.04481,1477.945413,17120.05974
16,81.62856014,5016.553655,326.5142406,20066.21462,571.399921,35115.87558,816.2856014,50165.53655,1546.036612,6184.146449,10822.25629,8560.029872,1224.428402,12840.04481,1632.571203,17120.05974
17,90.1687136,5016.553655,360.6748544,20066.21462,631.1809952,35115.87558,901.687136,50165.53655,2077.743926,8310.975705,14544.20748,8560.029872,1352.530704,12840.04481,1803.374272,17120.05974
18,99.60235606,5016.553655,398.4094242,20066.21462,697.2164924,35115.87558,996.0235606,50165.53655,2792.314094,11169.25638,19546.19866,8560.029872,1494.035341,12840.04481,1992.047121,17120.05974
19,110.0229662,5016.553655,440.091865,20066.21462,770.1607637,35115.87558,1100.229662,50165.53655,3752.636648,15010.54659,26268.45653,8560.029872,1650.344494,12840.04481,2200.459325,17120.05974
20,121.5338028,5016.553655,486.1352113,20066.21462,850.7366197,35115.87558,1215.338028,50165.53655,5043.229857,20172.91943,35302.609,8560.029872,1823.007042,12840.04481,2430.676056,17120.05974
